Date,Step Count,Distance (m),Calories Burned(cal x 10)
2022-09-08,8462,3570.07173,0
2022-09-09,1185,493.89051,0
2022-09-10,1912,791.85638,0
2022-09-11,4555,1971.97518,0
2022-09-12,2628,1121.917317,0
2022-09-13,4110,1812.76509,0
2022-09-14,5815,2423.95548,0
2022-09-15,6500,2782.57334,0
2022-09-16,6932,2858.28869,0
2022-09-17,874,369.813,0
2022-09-18,2212,921.803855,0
2022-09-19,2135,958.16326,0
2022-09-20,4991,2259.476059,0
2022-09-21,6231,2597.37951,0
2022-09-22,6151,2675.71746,0
2022-09-23,1999,889.61135,0
2022-09-24,292,123.52234,0
2022-09-25,692,309.98992,0
2022-09-26,2979,1295.4693,0
2022-09-27,6700,2918.36638,0
2022-09-28,2580,1091.82778,0
2022-09-29,9798,4187.020557,0
2022-09-30,12232,5488.866564,4558.76
2022-10-01,5475,2531.29247,5835.81
2022-10-02,3033,1375.989356,6010.18
2022-10-03,6652,3204.62512,4406.08
2022-10-04,10168,4732.032604,4344.8
2022-10-05,13447,6134.21556,5071.28
2022-10-06,12906,5906.711875,5113.76
2022-10-07,12410,5619.508587,5201.03
2022-10-08,6679,3046.802841,4220.48
2022-10-09,7452,3432.473268,4297.11
2022-10-10,5653,2628.733135,3813.47
2022-10-11,15614,7368.572952,6153.74
2022-10-12,13194,5995.262627,5399.48
2022-10-13,13403,6122.661272,5174.01
2022-10-14,15405,6935.226837,6585.1
2022-10-15,7395,3444.21096,2893.67
2022-10-16,5023,2325.540727,3568.84
2022-10-17,2840,1347.861065,3420.46
2022-10-18,7748,3619.41695,4314.43
2022-10-19,9272,4083.392527,4271.89
2022-10-20,11992,5343.00748,4296.25
2022-10-21,11497,5076.99452,4618.64
2022-10-22,13849,6324.954459,5448.07
2022-10-23,3412,1547.002632,3284.78
2022-10-24,3934,1881.231855,3740.08
2022-10-25,8921,4327.320085,4450.35
2022-10-26,10448,4827.98526,5276.59
2022-10-27,12438,5701.80312,5144.04
2022-10-28,10219,4527.55743,4142.81
2022-10-29,10172,4458.276829,3430.19
2022-10-30,1861,847.713887,2226.38
2022-10-31,5425,2492.617967,3674.58
2022-11-01,7344,3407.500284,3895.46
2022-11-02,6689,3083.289639,4886.18
2022-11-03,12486,5536.14202,5146.13
2022-11-04,12709,5585.66447,4857.25
